		
№ п/п	Адрес дома	Код дома
1	пер. Речной, д. 1	1474
2	пер. Речной, д. 19	1697
3	пер. Речной, д. 3	1731
4	пер. Транспортный, д. 6	1648
5	пр-кт Мира, д. 100	1713
6	пр-кт Мира, д. 104	1636
7	пр-кт Мира, д. 106	1679
8	пр-кт Мира, д. 112	1704
9	пр-кт Мира, д. 12	1732
10	пр-кт Мира, д. 16	1582
11	пр-кт Мира, д. 20	1580
12	пр-кт Мира, д. 22	1581
13	пр-кт Мира, д. 25	1740
14	пр-кт Мира, д. 26	1761
15	пр-кт Мира, д. 27	1741
16	пр-кт Мира, д. 3	1597
17	пр-кт Мира, д. 33	1495
18	пр-кт Мира, д. 37	1627
19	пр-кт Мира, д. 39	1593
20	пр-кт Мира, д. 50	1747
21	пр-кт Мира, д. 52	1408
22	пр-кт Мира, д. 54	1407
23	пр-кт Мира, д. 65	1687
24	пр-кт Мира, д. 7	1485
25	пр-кт Мира, д. 7 а	1483
26	пр-кт Мира, д. 80	1592
27	пр-кт Мира, д. 85	1635
28	пр-кт Мира, д. 89	1698
29	пр-кт Мира, д. 91 а	1709
30	ул. 9 Января, д. 2	1272
31	ул. 9 Января, д. 23	1758
32	ул. 9 Января, д. 26 а	1606
33	ул. Ады Лебедевой, д. 12	6122
34	ул. Ады Лебедевой/Вейнбаума, д. 31 / 38	1293
35	ул. Бограда, д. 13	1297
36	ул. Бограда, д. 26	1631
37	ул. Бограда, д. 5	1296
38	ул. Бограда, д. 65	1551
39	ул. Вейнбаума, д. 32	1727
40	ул. Горького, д. 10	1766
41	ул. Горького, д. 18	1788
42	ул. Горького, д. 24	1787
43	ул. Горького, д. 32	1786
44	ул. Горького, д. 34	1691
45	ул. Горького, д. 36	1785
46	ул. Горького, д. 38	1690
47	ул. Горького, д. 40	1708
48	ул. Горького, д. 42	1707
49	ул. Горького, д. 44	1612
50	ул. Горького, д. 6 а	1752
51	ул. Диктатуры Пролетариата, д. 11	1682
52	ул. Диктатуры Пролетариата, д. 12	1673
53	ул. Диктатуры Пролетариата, д. 18	1549
54	ул. Диктатуры Пролетариата, д. 20	1480
55	ул. Диктатуры Пролетариата, д. 32 а	1763
56	ул. Диктатуры Пролетариата, д. 35	1662
57	ул. Диктатуры Пролетариата, д. 40	1790
58	ул. Диктатуры Пролетариата, д. 40 а	1681
59	ул. Диктатуры Пролетариата, д. 5	1693
60	ул. Диктатуры Пролетариата, д. 6	1409
61	ул. Дубровинского, д. 104	1278
62	ул. Дубровинского, д. 106	1478
63	ул. Дубровинского, д. 50	1416
64	ул. Дубровинского, д. 52	1579
65	ул. Дубровинского, д. 52 а	1301
66	ул. Дубровинского, д. 54	1575
67	ул. Дубровинского, д. 54 а	1279
68	ул. Дубровинского, д. 56	1574
69	ул. Дубровинского, д. 58	1585
70	ул. Дубровинского, д. 62	1595
71	ул. Дубровинского, д. 62 а	1759
72	ул. Дубровинского, д. 70	1721
73	ул. Дубровинского, д. 76	1556
74	ул. Дубровинского, д. 78	1599
75	ул. Дубровинского, д. 78 а	1298
76	ул. Дубровинского, д. 82	1557
77	ул. Железнодорожников, д. 11	1314
78	ул. Каратанова, д. 4	1598
79	ул. Карла Маркса, д. 112 а	1711
80	ул. Карла Маркса, д. 127	1803
81	ул. Карла Маркса, д. 129	1287
82	ул. Карла Маркса, д. 131	1677
83	ул. Карла Маркса, д. 133	1479
84	ул. Карла Маркса, д. 135	1676
85	ул. Карла Маркса, д. 137	1411
86	ул. Карла Маркса, д. 139	1700
87	ул. Карла Маркса, д. 14	1276
88	ул. Карла Маркса, д. 141	1638
89	ул. Карла Маркса, д. 147	1670
90	ул. Карла Маркса, д. 19	1282
91	ул. Карла Маркса, д. 21	1603
92	ул. Карла Маркса, д. 34	1756
93	ул. Карла Маркса, д. 38	1602
94	ул. Карла Маркса, д. 40	1748
95	ул. Карла Маркса, д. 44	1749
96	ул. Карла Маркса, д. 47	1604
97	ул. Карла Маркса, д. 49	1594
98	ул. Карла Маркса, д. 52	1751
99	ул. Карла Маркса, д. 56	1601
100	ул. Карла Маркса, д. 58	1750
101	ул. Карла Маркса, д. 60 а	1498
102	ул. Карла Маркса, д. 88	1625
103	ул. Карла Маркса, д. 90	1665
104	ул. Карла Маркса, д. 92	1669
105	ул. Кирова, д. 10	1588
106	ул. Кирова, д. 2	1291
107	ул. Кирова, д. 31	1481
108	ул. Кирова, д. 6	1587
109	ул. Конституции СССР, д. 13	1762
110	ул. Конституции СССР, д. 15	1482
111	ул. Конституции СССР, д. 17	1734
